year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,uid,acres_unharvested,yield_tons_per_acre,price_per_ton,tons_never_harvested,not_marketable,inedible,bad_weather,pests_disease,market_dynamics,other
2018,florida,avocados,produce,avocados,5800.0,5800.0,15568000.0,13900.0,0.5,5780A76A319C8D184AD9841103306E2DAFFA95454A131575ED30BF30DA16A9F6CFA5FB28D208DD336450CD0B29A0128EB2DB1C25BB486DBBEF5503F4DB837CB9,0.0,2.396551724137931,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,hawaii,avocados,produce,avocados,840.0,840.0,1774800.0,870.0,0.5,37C6A44586AE09E0623511E66F957950FF26177BADF870AB4207713B556986503DCB4D8BE806872280F81DCA9A2F1158D5356520F314CD730E2A60BD3D9C0607,0.0,1.0357142857142858,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,california,peppers,produce,bell peppers,13600.0,13500.0,210007000.0,303750.0,0.5,A2AAFA7DDAE08EA1D1ADAD971BCF3CDCC80240F7A359453FBE7A667DE33FDD847AA51CA16711D20576ECE6C8116047CE5C61FCF7785B04793F5CA0C6A48AFE7F,100.0,22.5,691.3810699588478,1125.0,315.00000000000006,315.00000000000006,47.25,0.70875,0.14625,446.895
2018,florida,peppers,produce,bell peppers,12400.0,11900.0,180642000.0,178500.0,0.5,B84C8DBACACA65E0BCDD7E6448C89844AC9C5D2E3A0C4549D93C94E682517582A1363CF19A09BFB4A274031BFB3B4FD2C55640062FBE402E73608957A72ABDC5,500.0,15.0,1012.0,3750.0,1050.0,1050.0,157.5,2.3625000000000003,0.48749999999999993,1489.6499999999999
2018,georgia,peppers,produce,bell peppers,3400.0,3200.0,40110000.0,42400.0,0.5,F1350E2DDBA1EE846A147B515C7706DD33EF2350C60E86243A8C2C85133EFAAE8DBD2C491C19C11F9BED098CD62CDD9D4C8938F1B6E85EB7958814F9B35B95B1,200.0,13.25,945.9905660377359,1325.0,371.00000000000006,371.00000000000006,55.650000000000006,0.83475,0.17225,526.343
2018,michigan,peppers,produce,bell peppers,2100.0,2000.0,18220000.0,24000.0,0.5,896E13CBE824EED031999FD254487F7E086155658771337C43BF788B0CA28A1622B391BC016048078E34D98CCDC2237EA5E35F8D3454E4257BE25725CB770588,100.0,12.0,759.1666666666666,600.0,168.00000000000003,168.00000000000003,25.200000000000003,0.378,0.078,238.344
2018,new jersey,peppers,produce,bell peppers,3500.0,3400.0,39726000.0,46750.0,0.5,EE7881E5A244D12623574D162C532BBA2A52D93BE9114DC5B1EB98956AE5BA814D5F694669276ADE82DF36779EB84BFD973B80B9C0B010D879EBB330DA5EEC26,100.0,13.75,849.7540106951872,687.5,192.50000000000003,192.50000000000003,28.875000000000004,0.43312500000000004,0.089375,273.10249999999996
2018,new york,peppers,produce,bell peppers,1600.0,1400.0,8455000.0,7700.0,0.5,C3EDD4A39BEDE22CC47C632C9484946A0773EF7C052EA7051CE557F90D09DE9CC8DCA6C22750FD458CBA6641EC7A34526D4D0B8A345196F63069ECBB793C62C2,200.0,5.5,1098.051948051948,550.0,154.00000000000003,154.00000000000003,23.1,0.34650000000000003,0.0715,218.482
2018,north carolina,peppers,produce,bell peppers,2300.0,2000.0,15685000.0,20000.0,0.5,83421F416E660C42DD09C79AF7F272BF9D1F9D30634B19B4AB89E6E80FD0B99474886E4A2660E977A6C15E6B165380293F9D14DA6B0E86F41A2D7F19FFB83E14,300.0,10.0,784.25,1500.0,420.00000000000006,420.00000000000006,63.00000000000001,0.9450000000000001,0.19499999999999998,595.86
2018,ohio,peppers,produce,bell peppers,1500.0,1400.0,12040000.0,14000.0,0.5,8EDA731CCE435A4059F2E46E64F7EF3C59166ACC8BD3532686075E3EF1DD33D9B15D51928D501F7C169715F36CD4E678D6530A2AB22CB43F9B0C3F490D6C2637,100.0,10.0,860.0,500.0,140.0,140.0,21.0,0.315,0.06499999999999999,198.62
